time	V(in)	V(out)
0.000000000000000e+00	0.000000e+00	0.000000e+00
2.929687308722562e-12	1.230469e-06	1.309021e-08
4.606770960337273e-12	1.934844e-06	2.261964e-08
7.960938263566697e-12	3.343594e-06	4.779861e-08
1.466927287002554e-11	6.161094e-06	1.101855e-07
2.808594208294324e-11	1.179610e-05	2.529662e-07
4.059580795141899e-11	1.705024e-05	3.967041e-07
6.561553968837050e-11	2.755853e-05	7.024686e-07
1.036870708665537e-10	4.354857e-05	1.203659e-06
1.798301332229200e-10	7.552865e-05	2.305809e-06
2.849154783139164e-10	1.196645e-04	3.979097e-06
3.933404453082482e-10	1.652030e-04	5.866941e-06
5.511339009375228e-10	2.314762e-04	8.818403e-06
7.427644085086062e-10	3.119610e-04	1.259019e-05
1.020707716216594e-09	4.286972e-04	1.823975e-05
1.381756789524219e-09	5.803378e-04	2.565465e-05
1.933430153838033e-09	8.120406e-04	3.686427e-05
2.772308196942322e-09	1.164369e-03	5.331004e-05
4.408980673626984e-09	1.851772e-03	8.319602e-05
7.682325626996307e-09	3.226577e-03	1.367821e-04
1.216094601616915e-08	5.107597e-03	2.005652e-04
1.696781797714439e-08	7.126484e-03	2.591555e-04
2.247130181642466e-08	9.437947e-03	3.170873e-04
2.838445288809796e-08	1.192147e-02	3.721515e-04
3.536612112636227e-08	1.485377e-02	4.312043e-04
4.285590786347227e-08	1.799948e-02	4.903908e-04
5.115335791195880e-08	2.148441e-02	5.531430e-04
5.918098780378698e-08	2.485601e-02	6.123651e-04
6.909899039285255e-08	2.902158e-02	6.846223e-04
8.585225749181290e-08	3.605795e-02	8.063621e-04
1.679900571691881e-07	7.055582e-02	1.413071e-03
1.925492495925523e-07	8.087069e-02	1.597574e-03
2.171084420159165e-07	9.118555e-02	1.785059e-03
2.416676344392808e-07	1.015004e-01	1.975526e-03
2.662268268626450e-07	1.118153e-01	2.168976e-03
2.907860192860092e-07	1.221301e-01	2.365407e-03
3.153452117093734e-07	1.324450e-01	2.564821e-03
3.399044041327376e-07	1.427598e-01	2.767217e-03
3.668404391779154e-07	1.540730e-01	2.996094e-03
3.805433651192166e-07	1.598282e-01	3.116035e-03
3.945372711430914e-07	1.657057e-01	3.241981e-03
4.090787394281732e-07	1.718131e-01	3.377690e-03
4.245743660433849e-07	1.783212e-01	3.529002e-03
4.418055885203780e-07	1.855583e-01	3.706158e-03
4.626506843710721e-07	1.943133e-01	3.931440e-03
4.918164983144401e-07	2.065629e-01	4.258910e-03
5.424813553205924e-07	2.278422e-01	4.843061e-03
5.952284627856752e-07	2.499960e-01	5.482522e-03
6.560002677712312e-07	2.755201e-01	6.337307e-03
7.395520707169179e-07	3.106119e-01	7.909784e-03
8.244323843714385e-07	3.462616e-01	1.038525e-02
9.029174340015968e-07	3.792253e-01	1.431598e-02
9.798520412817157e-07	4.115379e-01	2.112032e-02
1.062530015578822e-06	4.462626e-01	3.339167e-02
1.148602594978320e-06	4.824131e-01	5.335362e-02
1.273540130996242e-06	5.348868e-01	9.295915e-02
1.406322059000966e-06	5.906553e-01	1.431233e-01
1.564340089160685e-06	6.570228e-01	2.077450e-01
1.754434082293405e-06	7.368623e-01	2.871823e-01
2.047402832293405e-06	8.599092e-01	4.100888e-01
2.340371582293405e-06	9.829561e-01	5.379092e-01
2.633340332293405e-06	1.106003e+00	7.096407e-01
2.728822582203863e-06	1.146106e+00	8.436654e-01
2.791033279068219e-06	1.172234e+00	1.013916e+00
2.813949998471012e-06	1.181859e+00	1.100268e+00
2.826756055809753e-06	1.187238e+00	1.150706e+00
2.833026873821349e-06	1.189871e+00	1.170201e+00
2.838300080047652e-06	1.192086e+00	1.181129e+00
2.841726253321544e-06	1.193525e+00	1.185918e+00
2.844753796175559e-06	1.194797e+00	1.188972e+00
2.848423548742569e-06	1.196338e+00	1.191889e+00
2.851854084997674e-06	1.197779e+00	1.194139e+00
2.855678488811282e-06	1.199385e+00	1.196293e+00
2.859533549900881e-06	1.201004e+00	1.198253e+00
2.864149700527462e-06	1.202943e+00	1.200445e+00
2.869381319280664e-06	1.205140e+00	1.202826e+00
2.875983989342961e-06	1.207913e+00	1.205754e+00
2.884370289341619e-06	1.211436e+00	1.209412e+00
2.895644407615342e-06	1.216171e+00	1.214278e+00
2.911800432076437e-06	1.222956e+00	1.221197e+00
2.932830975021963e-06	1.231789e+00	1.230157e+00
2.962318882154009e-06	1.244174e+00	1.242675e+00
2.998216811351476e-06	1.259251e+00	1.257878e+00
3.124765586491125e-06	1.312402e+00	1.311322e+00
4.106941931278107e-06	1.724916e+00	1.724181e+00
5.089118276065090e-06	2.137430e+00	2.136967e+00
6.071294620852073e-06	2.549944e+00	2.549681e+00
7.053470965639055e-06	2.962458e+00	2.962321e+00
8.035647310426039e-06	3.374972e+00	3.374889e+00
9.017823655213021e-06	3.787486e+00	3.787384e+00
1.000000000000000e-05	4.200000e+00	4.199806e+00
1.000080305397192e-05	4.200000e+00	4.199894e+00
1.000240916191577e-05	4.200000e+00	4.199985e+00
1.000273975615727e-05	4.200000e+00	4.199986e+00
1.000294223919887e-05	4.200000e+00	4.199983e+00
1.000325277056251e-05	4.200000e+00	4.199981e+00
1.000358698783341e-05	4.200000e+00	4.199979e+00
1.000406731668330e-05	4.200000e+00	4.199978e+00
1.000469628650055e-05	4.200000e+00	4.199978e+00
1.000551483189252e-05	4.200000e+00	4.199978e+00
1.000707494552932e-05	4.200000e+00	4.199978e+00
1.000920229273722e-05	4.200000e+00	4.199979e+00
1.001345698715304e-05	4.200000e+00	4.199980e+00
1.002196637598466e-05	4.200000e+00	4.199981e+00
1.003801390505645e-05	4.200000e+00	4.199982e+00
1.007010896320002e-05	4.200000e+00	4.199982e+00
1.010494246802242e-05	4.200000e+00	4.199983e+00
1.017053674475472e-05	4.200000e+00	4.199983e+00
1.026884494645524e-05	4.200000e+00	4.199983e+00
1.046546134985628e-05	4.200000e+00	4.199983e+00
1.075843009985628e-05	4.200000e+00	4.199983e+00
1.105139884985628e-05	4.200000e+00	4.199983e+00
1.134436759985628e-05	4.200000e+00	4.199983e+00
1.163733634985628e-05	4.200000e+00	4.199983e+00
1.193030509985628e-05	4.200000e+00	4.199983e+00
1.222327384985628e-05	4.200000e+00	4.199983e+00
1.251624259985628e-05	4.200000e+00	4.199983e+00
1.339514884985628e-05	4.200000e+00	4.199983e+00
1.097070312500000e-04	4.200000e+00	4.199983e+00
1.100000000000000e-04	4.200000e+00	4.199983e+00
1.100006451422477e-04	4.199729e+00	4.199795e+00
1.100019354267432e-04	4.199187e+00	4.199344e+00
1.100022779610471e-04	4.199043e+00	4.199205e+00
1.100025822320230e-04	4.198915e+00	4.199073e+00
1.100029851323961e-04	4.198746e+00	4.198902e+00
1.100036217417860e-04	4.198479e+00	4.198634e+00
1.100044262576315e-04	4.198141e+00	4.198296e+00
1.100058728790060e-04	4.197534e+00	4.197689e+00
1.100079361714444e-04	4.196667e+00	4.196822e+00
