"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**";"MountingHole_3.2mm_M3";2;"MountingHole_3.2mm_M3";;;
2;"U4";"ESP32-WROOM-32";1;"ESP32-WROOM-32D";;;
3;"C20,C13,C11,C8";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";4;"0.1u";;;
4;"J2";"PinHeader_1x11_P2.54mm_Vertical";1;"Conn_01x11";;;
5;"BT1,BT2";"BatteryHolder_Keystone_1042_1x18650";2;"Li-ion";;;
6;"J1";"USB_Micro-B_Wuerth_629105150521";1;"USB_B_Micro";;;
7;"U1";"VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm";1;"BQ24075";;;
8;"U7,U6,U5";"SOT-363_SC-70-6";3;"TPS22919";;;
9;"R14,R13,R12,R3";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";4;"680";;;
10;"C19,C18,C15,C12";"CP_Elec_4x5.4";4;"10u/16V";;;
11;"C17,C16,C14";"CP_Elec_4x5.4";3;"3.3u/16V";;;
12;"C7,C2";"CP_Elec_5x5.4";2;"47u/16V";;;
13;"JP1";"Wire";1;"Stroommeetdraad";;;
14;"D2";"LED_D3.0mm";1;"LED_Blue";;;
15;"D1";"LED_D3.0mm";1;"LED_Green";;;
16;"U3";"SOT-23-5";1;"TLV75533PDBV";;;
17;"U2";"WSON-6_1.5x1.5mm_P0.5mm";1;"BQ29700";;;
18;"R11,R4";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"10k";;;
19;"R10,R9";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"5 Meg";;;
20;"R8";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"2.2k";;;
21;"R7";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"330";;;
22;"R6,R5";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"1.5k";;;
23;"R2";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"47k";;;
24;"R1";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"1.1k";;;
25;"Q2";"SOIC-8_3.9x4.9mm_P1.27mm";1;"FDS9926A";;;
26;"Q1";"SOT-23";1;"NTR2101P";;;
27;"J3";"PinHeader_1x03_P2.54mm_Vertical";1;"UART";;;
28;"EN1,BOOT1";"SW_Push_1P1T_NO_6x6mm_H9.5mm";2;"SW_DIP_x01";;;
29;"C10";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"47u/10V";;;
30;"C9,C6,C3,C1";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";4;"1u";;;
31;"C5,C4";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"4.7u";;;
