"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J1";"PinHeader_1x11_P2.54mm_Vertical";1;"Mainboard connection";;;
2;"U1";"AMG8833";1;"AMG8833";;;
3;"C3";"C_1206_3216Metric";1;"2.2uF";;;
4;"R2";"R_1206_3216Metric";1;"22";;;
5;"D1";"D_SOD-128";1;"RB081LAM-20";;;
6;"R16,R5,R1";"R_1206_3216Metric";3;"10K";;;
7;"C2";"C_1206_3216Metric";1;"1uF";;;
8;"R15";"R_1206_3216Metric";1;"10k";;;
9;"C6,C21";"C_1206_3216Metric";2;"0.1uF";;;
10;"U2";"AMS_LGA-10-1EP_2.7x4mm_P0.6mm";1;"CCS811";;;
11;"R21,R14,R12";"R_1206_3216Metric";3;"100k";;;
12;"R13,TH1";"R_1206_3216Metric";2;"100K";;;
13;"R11";"R_1206_3216Metric";1;"4k7";;;
14;"C11";"C_1206_3216Metric";1;"4.7µF";;;
15;"C1";"C_1206_3216Metric";1;"10uF";;;
16;"U3";"SOT-353_SC-70-5";1;"NC7SVU04P5X";;;
17;"R3,R4";"R_1206_3216Metric";2;"2k2";;;
18;"J2";"PinHeader_1x03_P2.00mm_Vertical";1;"microphoon connection";;;
