#Digilent WaveForms Oscilloscope Acquisition,,,
#Device Name: Discovery2,,,
#Serial Number: SN:210321A4216E,,,
#Date Time: 2020-04-30 20:02:49.283,,,
#Sample rate: 800Hz,,,
#Samples: 4922,,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s,,,
#Channel 1: Range: 20 mV/div Offset: 0 V,,,
,,,
Time (s),Channel 1 (V),,
-3.99875,0.00808849,8.85E-05,8.85E-05
-3.9975,0.0067533,-0.0012467,-0.0012467
-3.99625,0.0060857,-0.0019143,-0.0019143
-3.995,0.0064195,-0.0015805,-0.0015805
-3.99375,0.0070871,-0.0009129,-0.0009129
-3.9925,0.00842229,0.00042229,0.00042229
-3.99125,0.00875609,0.00075609,0.00075609
-3.99,0.00842229,0.00042229,0.00042229
-3.98875,0.00808849,8.85E-05,8.85E-05
-3.9875,0.00875609,0.00075609,0.00075609
-3.98625,0.0107589,0.0027589,0.0027589
-3.985,0.0107589,0.0027589,0.0027589
-3.98375,0.00875609,0.00075609,0.00075609
-3.9825,0.0074209,-0.0005791,-0.0005791
-3.98125,0.0067533,-0.0012467,-0.0012467
-3.98,0.00842229,0.00042229,0.00042229
-3.97875,0.00808849,8.85E-05,8.85E-05
-3.9775,0.0067533,-0.0012467,-0.0012467
-3.97625,0.0060857,-0.0019143,-0.0019143
-3.975,0.0067533,-0.0012467,-0.0012467
-3.97375,0.0070871,-0.0009129,-0.0009129
-3.9725,0.00842229,0.00042229,0.00042229
-3.97125,0.00875609,0.00075609,0.00075609
-3.97,0.00842229,0.00042229,0.00042229
-3.96875,0.00808849,8.85E-05,8.85E-05
-3.9675,0.00875609,0.00075609,0.00075609
-3.96625,0.0107589,0.0027589,0.0027589
-3.965,0.0107589,0.0027589,0.0027589
-3.96375,0.00875609,0.00075609,0.00075609
-3.9625,0.0074209,-0.0005791,-0.0005791
-3.96125,0.0070871,-0.0009129,-0.0009129
-3.96,0.00842229,0.00042229,0.00042229
-3.95875,0.00808849,8.85E-05,8.85E-05
-3.9575,0.0067533,-0.0012467,-0.0012467
-3.95625,0.0060857,-0.0019143,-0.0019143
-3.955,0.0064195,-0.0015805,-0.0015805
-3.95375,0.0074209,-0.0005791,-0.0005791
-3.9525,0.00842229,0.00042229,0.00042229
-3.95125,0.00875609,0.00075609,0.00075609
-3.95,0.00842229,0.00042229,0.00042229
-3.94875,0.00842229,0.00042229,0.00042229
-3.9475,0.00908989,0.00108989,0.00108989
-3.94625,0.0107589,0.0027589,0.0027589
-3.945,0.0107589,0.0027589,0.0027589
-3.94375,0.00842229,0.00042229,0.00042229
-3.9425,0.0074209,-0.0005791,-0.0005791
-3.94125,0.0067533,-0.0012467,-0.0012467
-3.94,0.00808849,8.85E-05,8.85E-05
-3.93875,0.00808849,8.85E-05,8.85E-05
-3.9375,0.0064195,-0.0015805,-0.0015805
-3.93625,0.0057519,-0.0022481,-0.0022481
-3.935,0.0064195,-0.0015805,-0.0015805
-3.93375,0.0070871,-0.0009129,-0.0009129
-3.9325,0.00842229,0.00042229,0.00042229
-3.93125,0.00842229,0.00042229,0.00042229
-3.93,0.00842229,0.00042229,0.00042229
-3.92875,0.00808849,8.85E-05,8.85E-05
-3.9275,0.00875609,0.00075609,0.00075609
-3.92625,0.0107589,0.0027589,0.0027589
-3.925,0.0104251,0.0024251,0.0024251
-3.92375,0.00875609,0.00075609,0.00075609
-3.9225,0.0070871,-0.0009129,-0.0009129
-3.92125,0.0067533,-0.0012467,-0.0012467
-3.92,0.00842229,0.00042229,0.00042229
-3.91875,0.00808849,8.85E-05,8.85E-05
-3.9175,0.0064195,-0.0015805,-0.0015805
-3.91625,0.0057519,-0.0022481,-0.0022481
-3.915,0.0067533,-0.0012467,-0.0012467
-3.91375,0.0070871,-0.0009129,-0.0009129
-3.9125,0.00842229,0.00042229,0.00042229
-3.91125,0.00875609,0.00075609,0.00075609
-3.91,0.00842229,0.00042229,0.00042229
-3.90875,0.00808849,8.85E-05,8.85E-05
-3.9075,0.00908989,0.00108989,0.00108989
-3.90625,0.0107589,0.0027589,0.0027589
-3.905,0.0107589,0.0027589,0.0027589
-3.90375,0.00875609,0.00075609,0.00075609
-3.9025,0.0070871,-0.0009129,-0.0009129
-3.90125,0.0067533,-0.0012467,-0.0012467
-3.9,0.00842229,0.00042229,0.00042229
-3.89875,0.00808849,8.85E-05,8.85E-05
-3.8975,0.0064195,-0.0015805,-0.0015805
-3.89625,0.0057519,-0.0022481,-0.0022481
-3.895,0.0064195,-0.0015805,-0.0015805
-3.89375,0.0070871,-0.0009129,-0.0009129
-3.8925,0.00842229,0.00042229,0.00042229
-3.89125,0.00875609,0.00075609,0.00075609
-3.89,0.00842229,0.00042229,0.00042229
-3.88875,0.00808849,8.85E-05,8.85E-05
-3.8875,0.00908989,0.00108989,0.00108989
-3.88625,0.0107589,0.0027589,0.0027589
-3.885,0.0104251,0.0024251,0.0024251
-3.88375,0.00842229,0.00042229,0.00042229
-3.8825,0.0074209,-0.0005791,-0.0005791
-3.88125,0.0067533,-0.0012467,-0.0012467
-3.88,0.00808849,8.85E-05,8.85E-05
-3.87875,0.00808849,8.85E-05,8.85E-05
-3.8775,0.0064195,-0.0015805,-0.0015805
-3.87625,0.0057519,-0.0022481,-0.0022481
-3.875,0.0064195,-0.0015805,-0.0015805
-3.87375,0.0070871,-0.0009129,-0.0009129
-3.8725,0.00842229,0.00042229,0.00042229
-3.87125,0.00842229,0.00042229,0.00042229
-3.87,0.00842229,0.00042229,0.00042229
-3.86875,0.00808849,8.85E-05,8.85E-05
-3.8675,0.00875609,0.00075609,0.00075609
-3.86625,0.0107589,0.0027589,0.0027589
-3.865,0.0104251,0.0024251,0.0024251
-3.86375,0.00842229,0.00042229,0.00042229
-3.8625,0.0070871,-0.0009129,-0.0009129
-3.86125,0.0067533,-0.0012467,-0.0012467
-3.86,0.00808849,8.85E-05,8.85E-05
-3.85875,0.00808849,8.85E-05,8.85E-05
-3.8575,0.0064195,-0.0015805,-0.0015805
-3.85625,0.0060857,-0.0019143,-0.0019143
-3.855,0.0067533,-0.0012467,-0.0012467
-3.85375,0.0074209,-0.0005791,-0.0005791
-3.8525,0.00842229,0.00042229,0.00042229
-3.85125,0.00875609,0.00075609,0.00075609
-3.85,0.00842229,0.00042229,0.00042229
-3.84875,0.00808849,8.85E-05,8.85E-05
-3.8475,0.00908989,0.00108989,0.00108989
-3.84625,0.0107589,0.0027589,0.0027589
-3.845,0.0104251,0.0024251,0.0024251
-3.84375,0.00842229,0.00042229,0.00042229
-3.8425,0.0074209,-0.0005791,-0.0005791
-3.84125,0.0067533,-0.0012467,-0.0012467
-3.84,0.00842229,0.00042229,0.00042229
-3.83875,0.00808849,8.85E-05,8.85E-05
-3.8375,0.0064195,-0.0015805,-0.0015805
-3.83625,0.0060857,-0.0019143,-0.0019143
-3.835,0.0067533,-0.0012467,-0.0012467
-3.83375,0.0074209,-0.0005791,-0.0005791
-3.8325,0.00842229,0.00042229,0.00042229
-3.83125,0.00842229,0.00042229,0.00042229
-3.83,0.00842229,0.00042229,0.00042229
-3.82875,0.00808849,8.85E-05,8.85E-05
-3.8275,0.00875609,0.00075609,0.00075609
-3.82625,0.0107589,0.0027589,0.0027589
-3.825,0.0104251,0.0024251,0.0024251
-3.82375,0.00842229,0.00042229,0.00042229
-3.8225,0.0070871,-0.0009129,-0.0009129
-3.82125,0.0067533,-0.0012467,-0.0012467
-3.82,0.00842229,0.00042229,0.00042229
-3.81875,0.00808849,8.85E-05,8.85E-05
-3.8175,0.0064195,-0.0015805,-0.0015805
-3.81625,0.0057519,-0.0022481,-0.0022481
-3.815,0.0067533,-0.0012467,-0.0012467
-3.81375,0.0074209,-0.0005791,-0.0005791
-3.8125,0.00842229,0.00042229,0.00042229
-3.81125,0.00842229,0.00042229,0.00042229
-3.81,0.00842229,0.00042229,0.00042229
-3.80875,0.00808849,8.85E-05,8.85E-05
-3.8075,0.00908989,0.00108989,0.00108989
-3.80625,0.0107589,0.0027589,0.0027589
-3.805,0.0104251,0.0024251,0.0024251
-3.80375,0.00842229,0.00042229,0.00042229
-3.8025,0.0074209,-0.0005791,-0.0005791
-3.80125,0.0067533,-0.0012467,-0.0012467
-3.8,0.00842229,0.00042229,0.00042229
-3.79875,0.00808849,8.85E-05,8.85E-05
-3.7975,0.0064195,-0.0015805,-0.0015805
-3.79625,0.0060857,-0.0019143,-0.0019143
-3.795,0.0067533,-0.0012467,-0.0012467
-3.79375,0.0074209,-0.0005791,-0.0005791
-3.7925,0.00842229,0.00042229,0.00042229
-3.79125,0.00842229,0.00042229,0.00042229
-3.79,0.00842229,0.00042229,0.00042229
